股票代码,总市值
603886,47.16
603887,36.2
603888,145.59
603889,57.6
603890,34.82
603893,299.24
603895,25.45
603896,80.99
603897,37.8
603898,31.88
603899,409.19
603900,22.73
603901,68.59
603903,23.03
603906,85.78
603908,27.91
603909,35.19
603912,49.52
603915,118.67
603916,56.2
603917,32.98
603918,90.1
603919,131.74
603920,90.1
603922,27.43
603926,22.24
603927,198.26
603928,23.97
603929,33.18
603931,54.24
603933,35.09
603936,73.76
603937,25.32
603938,79.2
603939,390.47
603948,40.24
603949,35.56
603950,42.88
603955,21.74
603956,38.54
603958,16.62
603959,50.35
603960,42.9
603963,26.52
603966,33.17
603967,32.24
603968,35.1
603969,39.35
603970,47.82
603976,30.62
603977,53.68
603978,28.98
603979,203.1
603980,31.08
603982,37.94
603983,113.6
603985,101.84
603986,680.58
603987,48.55
603988,23.43
603989,86.82
603990,47.2
603991,27.29
603992,55.46
603993,1285.15
603995,90.73
603997,169.71
603998,41.53
603999,35.48
605001,30.72
605003,20.86
605005,65.36
605006,45.31
605007,58.52
605008,96.04
605009,67.35
605011,118.59
605016,57.98
605018,49.46
605020,122.42
605028,30.22
605033,24.67
605050,54.56
605055,27.1
605056,51.0
605058,29.56
605060,64.9
605066,34.78
605068,35.92
605069,19.33
605077,58.14
605080,40.21
605081,15.38
605086,27.32
605088,27.65
605089,58.37
605090,140.41
605098,46.2
605099,92.9
605100,26.31
605108,85.83
605111,114.69
605116,92.77
605117,457.61
605118,58.82
605122,26.32
605123,115.84
605128,34.54
605133,55.84
605136,45.25
605138,48.78
605151,24.04
605155,19.96
605158,38.05
605162,38.44
605166,29.76
605167,43.11
605168,111.6
605169,30.04
605177,31.98
605178,20.67
605179,49.32
605180,21.19
605183,70.75
605186,53.94
605188,49.36
605189,23.48
605196,42.35
605198,67.64
605199,61.58
605208,29.73
605218,30.05
605222,77.06
605228,42.11
605255,20.11
605258,21.72
605259,30.2
605266,74.65
605268,45.54
605277,36.61
605286,44.16
605287,25.2
605288,27.99
605289,35.92
605296,121.54
605298,21.26
605299,48.93
605300,84.84
605303,18.61
605305,44.95
605318,20.15
605319,39.23
605333,60.71
605336,29.59
605337,68.51
605338,61.08
605339,87.01
605358,246.51
605365,74.85
605366,49.35
605368,67.06
605369,60.87
605376,88.89
605377,67.98
605378,29.67
605388,56.59
605389,34.95
605398,30.32
605399,49.38
605488,26.6
605499,727.02
605500,30.75
605507,116.4
605555,63.79
605566,29.31
605567,25.8
605577,48.53
605580,32.87
605588,28.49
605589,173.72
605598,75.29
605599,103.91
688001,137.51
688002,221.19
688003,77.9
688004,17.15
688005,244.62
688006,172.05
688007,96.18
688008,620.78
688009,622.68
688010,32.23
688011,22.35
688012,862.88
688013,17.59
688015,31.54
688016,114.26
688017,206.6
688018,91.5
688019,141.88
688020,36.58
688021,18.49
688022,56.5
688023,129.91
688025,75.61
688026,24.14
688027,106.85
688028,30.91
688029,140.12
688030,36.23
688031,114.68
688032,247.62
688033,100.75
688035,81.79
688036,1048.53
688037,207.27
688038,16.92
688039,34.9
688041,1284.66
688045,33.61
688046,80.32
688047,375.02
688048,121.92
688049,37.19
688050,182.08
688051,24.03
688052,204.93
688053,54.28
688055,134.33
688056,24.88
688057,40.79
688058,26.72
688059,58.09
688060,30.05
688061,49.62
688062,87.11
688063,277.52
688065,357.61
688066,167.51
688067,14.49
688068,37.49
688069,23.94
688070,34.42
688071,43.54
688072,428.89
688073,63.07
688075,52.07
688076,74.21
688077,28.56
688078,32.83
688079,39.69
688080,29.36
688081,16.4
688082,470.24
688083,167.31
688084,52.73
688085,53.79
688087,43.26
688088,147.3
688089,34.55
688090,19.79
688091,99.07
688092,16.91
688093,48.35
688095,90.43
688096,14.15
688097,115.68
688098,30.76
688099,359.16
688100,128.35
688101,44.37
688102,63.0
688103,60.09
688105,118.08
688106,118.07
688107,198.98
688108,33.95
688109,18.52
688110,141.87
688111,1884.56
688112,75.14
688113,27.52
688114,359.73
688115,21.25
688116,102.02
688117,39.24
688118,25.56
688119,61.99
688120,330.22
688121,55.21
688122,315.22
688123,85.95
688125,32.25
688126,567.37
688127,62.8
688128,86.24
688129,17.22
688130,28.33
688131,87.53
688132,35.71
688133,72.82
688135,38.8
688136,35.38
688137,40.85
688138,50.08
688139,140.6
688141,139.83
688143,35.58
688146,196.73
688147,222.59
688148,52.9
688150,71.15
688151,68.62
688152,100.79
688153,279.92
688155,35.87
688156,25.88
688157,55.02
688158,76.39
688159,35.47
688160,53.77
688161,155.2
688162,50.83
688163,21.03
688165,51.86
688166,84.07
688167,82.58
688168,26.6
688169,344.01
688170,39.59
688171,18.19
688172,254.81
688173,79.99
688175,30.44
688176,60.99
688177,108.78
688178,15.69
688179,39.94
688180,386.39
688181,35.85
688182,83.68
688183,88.09
688184,43.31
688185,222.31
688186,52.64
688187,593.83
688188,340.73
688189,26.45
688190,90.19
688191,26.34
688192,133.51
688193,17.55
688195,45.38
688196,57.7
688197,65.2
688198,168.07
688199,32.43
688200,204.52
688201,58.96
688202,115.96
688203,26.04
688205,55.17
688206,107.02
688207,53.92
688208,124.26
688209,66.82
688210,29.16
688211,53.17
688212,73.84
688213,184.2
688215,14.01
688216,24.71
688217,20.94
688218,19.96
688219,47.67
688220,321.34
688221,41.99
688222,60.38
688223,1198.0
688225,72.64
688226,26.94
688227,24.21
688228,29.17
688229,19.3
688230,47.89
688231,59.94
688232,157.74
688233,49.38
688234,266.85
688235,1653.62
688236,79.74
688237,41.81
688238,70.51
688239,84.47
688244,47.06
688246,45.82
688247,62.11
688248,187.03
688249,379.36
688251,16.56
688252,72.97
688253,28.8
688255,29.66
688256,658.22
688257,33.43
688258,55.43
688259,49.6
688260,19.38
688261,123.46
688262,110.85
688265,29.62
688266,112.1
688267,37.9
688268,76.05
688269,78.45
688270,79.03
688271,1098.85
688272,13.95
688273,33.44
688275,109.95
688276,230.61
688277,66.64
688278,137.5
688279,99.36
688280,47.51
688281,251.08
688282,37.1
688283,56.4
688285,32.85
688286,27.77
688287,39.27
688288,21.53
688289,103.33
688290,59.28
688291,31.43
688292,40.06
688293,59.17
688295,313.65
688296,18.86
688297,322.31
688298,81.71
688299,42.16
688300,78.57
688301,251.48
688302,44.62
688303,852.61
688305,79.63
688306,61.66
688307,26.88
688308,59.73
688309,17.52
688310,36.18
688311,60.01
688312,23.9
688313,60.33
688314,26.44
688315,92.05
688316,20.44
688317,47.7
688318,196.01
688319,67.58
688320,54.06
688321,85.42
688322,125.92
688323,42.86
688325,30.91
688326,170.76
688327,160.31
688328,18.29
688329,21.22
688330,45.53
688331,318.34
688332,80.05
688333,190.55
688334,54.2
688335,20.85
688336,115.09
688337,98.67
688338,34.9
688339,98.29
688343,196.14
688345,34.26
688347,871.77
688348,179.08
